No    Independent  Dependent
1   0.001558089 -0.0275143836
2   0.010322634  0.0229526318
3   0.019588978 -0.3722709192
4   0.031155383  0.1880417225
5   0.039470235  0.5193859924
6   0.050893798  0.7796095546
7   0.060638353  0.0593051071
8   0.069135384  0.0936865587
9   0.080085993  0.2476291088
10  0.089007610  0.5522626497
11  0.101559494 -0.5101544655
12  0.110109626  0.2336004762
13  0.119896825 -0.2678542314
14  0.131023801 -0.3003349994
15  0.140135316 -0.1070491861
16  0.150983426 -0.2024309069
17  0.160973021  0.0271555309
18  0.169130407 -0.0994631228
19  0.178894848 -0.0003285765
20  0.189534019 -0.0256543952
21  0.200940805 -0.4767423487
22  0.211494799  0.2234578740
23  0.219783391  0.3979888413
24  0.228767197 -0.0062301798
25  0.240561085  0.6034813908
26  0.248753854 -0.4942503149
27  0.259214863  0.0577412785
28  0.271478103 -0.1208651268
29  0.278881512 -0.1144111585
30  0.289886673 -0.2810700579
31  0.300750266 -0.2248318255
32  0.309392180  0.2577575878
33  0.321129634 -0.2378572677
34  0.331299495  0.6004522790
35  0.340849228  0.3863345242
36  0.349866368 -0.3703850295
37  0.361226189  0.2228777350
38  0.369436736 -0.3734564316
39  0.379745997  0.0550718031
40  0.390020864  0.2591149284
41  0.400963974 -0.1687577532
42  0.410485772 -0.0368406590
43  0.420337644  0.1820454416
44  0.429756893  0.1791184027
45  0.440182441  0.1117545342
46  0.448373990 -0.0819769959
47  0.460483300 -0.0739639812
48  0.470950110  0.4737979878
49  0.478325853  0.5882504618
50  0.488673514  0.2830632711
51  0.500790632  0.7019198536
52  0.508022021  0.1824885692
53  0.520765062  0.5185374045
54  0.528213971  0.0957980079
55  0.540013981  0.6263592467
56  0.551752422  0.2982131613
57  0.559646094  0.9436876159
58  0.568932914  0.9373470835
59  0.578102466  1.0841384725
60  0.590581958  0.6241861980
61  0.598400620  1.5410935978
62  0.609421001  1.1901278376
63  0.619972433  1.0486735539
64  0.631217363  1.2229511331
65  0.641028933  0.7224745841
66  0.651065216  0.9560462743
67  0.660087239  0.4226520368
68  0.669695550  0.4490069686
69  0.680770764  0.6661377243
70  0.688357314  0.7499764556
71  0.701834650  0.5534068305
72  0.708714986  0.8780812196
73  0.721462996  0.4670242659
74  0.730448625  0.2681330427
75  0.739198911  0.3717856451
76  0.751017579 -0.3764726204
77  0.761695412  0.1332268308
78  0.769737903 -0.2066037905
79  0.781159657 -0.0217042782
80  0.791944644  0.1767603500
81  0.801565753  0.0773652988
82  0.809738294  0.3143307304
83  0.820411478 -0.0482849804
84  0.828617004 -0.5898944139
85  0.840656162  0.2312857444
86  0.848257913 -0.2166203633
87  0.861841911 -0.2775760931
88  0.869121303 -0.4496475846
89  0.879634071 -0.4727862465
90  0.889817783 -0.5800511416
91  0.898431614 -0.8943201956
92  0.910619605 -1.2119374863
93  0.920058464 -0.7156604387
94  0.931489980 -0.3955172258
95  0.939380457 -0.5877231122
96  0.951675730 -0.7007006957
97  0.960087652 -0.4657755464
98  0.971649512 -0.3680593408
99  0.979598592 -0.2967003413
100 0.988638981  0.1141145235
101 0.998538892 -0.4674138702
